"ID","INCOME_RANGE_CODE","EMPLOYMENT_LVL_CODE","ENGLISH_LANGUAGE_NATIVE","HIGHEST_ED_LVL_CODE_MOTHER","HIGHEST_ED_LVL_CODE_FATHER"
469,"05-LT70K","3","Y","01-HS_DNF","01-HS_DNF"
8645,"06-LT85K","3","Y","04-ASSOC","04-ASSOC"
2287,"01-LT25K","1","Y","00-UNKNOWN","02-HS_GRAD"
5788,"01-LT25K","1","Y","05-BACC","06-MASTER"
5202,"02-LT35K","3","Y","02-HS_GRAD","02-HS_GRAD"
5154,"01-LT25K",NA,"Y","04-ASSOC","05-BACC"
7975,"02-LT35K","3","Y","05-BACC","04-ASSOC"
4813,"04-LT55K","3","Y","02-HS_GRAD","02-HS_GRAD"
5877,"08-LT120K","3","Y","03-SOMECOL","02-HS_GRAD"
9189,"04-LT55K","3","Y","05-BACC","05-BACC"
1588,"03-LT45K","3","Y","02-HS_GRAD","02-HS_GRAD"
561,"03-LT45K","3","Y","04-ASSOC","00-UNKNOWN"
591,"06-LT85K","3","Y","01-HS_DNF","01-HS_DNF"
1565,"02-LT35K","2","Y","02-HS_GRAD","05-BACC"
6343,"01-LT25K","1","Y","03-SOMECOL","02-HS_GRAD"
1946,"04-LT55K","3","Y","05-BACC","05-BACC"
2177,"06-LT85K","3","Y","04-ASSOC","05-BACC"
7070,NA,NA,"Y",NA,NA
8409,"05-LT70K","3","Y","02-HS_GRAD","05-BACC"
7444,"05-LT70K","3","Y","00-UNKNOWN","00-UNKNOWN"
3719,"08-LT120K","3","Y","04-ASSOC","02-HS_GRAD"
8332,"05-LT70K","1","Y","01-HS_DNF","02-HS_GRAD"
9778,"04-LT55K","3","Y","00-UNKNOWN","00-UNKNOWN"
1738,"05-LT70K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
1344,"06-LT85K","3","Y","01-HS_DNF","02-HS_GRAD"
326,"02-LT35K","2","Y","06-MASTER","06-MASTER"
5454,"04-LT55K","3","Y","06-MASTER","02-HS_GRAD"
9691,"06-LT85K","2","Y","01-HS_DNF","02-HS_GRAD"
7084,"09-GE120K",NA,"Y","04-ASSOC","05-BACC"
2078,NA,NA,"Y",NA,NA
3515,"04-LT55K","3","Y","07-DOCTOR","04-ASSOC"
817,"02-LT35K","3","Y","02-HS_GRAD","04-ASSOC"
5159,"03-LT45K","3","Y","00-UNKNOWN","00-UNKNOWN"
1247,NA,NA,"Y","02-HS_GRAD","02-HS_GRAD"
5813,"05-LT70K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
1194,"06-LT85K","3","Y","03-SOMECOL","02-HS_GRAD"
9005,"02-LT35K","3","N","01-HS_DNF","01-HS_DNF"
619,"05-LT70K","3","Y","05-BACC","00-UNKNOWN"
8179,"02-LT35K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
7653,NA,NA,"Y","05-BACC","05-BACC"
2535,"08-LT120K","3","Y","02-HS_GRAD","03-SOMECOL"
4115,"02-LT35K",NA,"Y",NA,NA
7530,"03-LT45K","3","Y","03-SOMECOL","03-SOMECOL"
